feature,mean_abs_shap
Stint,0.1034171098633157
TyreLife,0.08218188487842595
pit_stops_so_far,0.08191405283507609
LapNumber,0.03404819837579217
recomputed_stint,0.0140876008096178
laptime_delta_prev,0.012518562731855035
laps_since_last_pit,0.007069263712083656
Position,0.006819478141803236
Compound_MEDIUM,0.005587787075560529
Compound_HARD,0.005469578868352992
PitStop,0.0041329837015342385
Compound_SOFT,0.0033315973417719635
Compound_INTERMEDIATE,0.002960194070234293
Compound_WET,8.495097787666332e-05
