run_name,evaluation_status,promotion_evaluation_valid,mean_paired_delta,median_paired_delta,min_paired_delta,max_paired_delta,folds_favoring_challenger,n_folds
E22_xgboost_e13_features,valid_challenger,true,-0.0020588545674657954,-0.0009570281524584612,-0.006225598205701566,0.001255126949284202,1,5
E23_catboost_e13_features,valid_challenger,true,-0.00047630168001635555,-0.0002817918772805017,-0.004342497016021518,0.005442470036910341,2,5
E24_lightgbm_e13_features,valid_challenger,true,-0.0017789599490780628,-0.001504635380393582,-0.00599112965820392,0.0010275577684041304,1,5
E25_ensemble_logit_stack,exploratory_contaminated,false,0.0004452689155467482,0.0008763656207830817,-0.0006833947728093204,0.0009744669156350749,4,5
