run_name,model_family,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,fit_seconds,predict_ms_per_1k_rows,n_features,mlflow_run_id
E20_hist_gradient_boosting,hist_gradient_boosting,0.8610795691937343,0.025033588179159065,0.5531082322167025,0.07613074844377588,4.319006420020014,4.916929245784918,10,d84ecc6f5e8d4179aec31cee0e6e30f9
E22_xgboost_e13_features,xgboost,0.8590207146262685,0.022883964283689093,0.5483914295746677,0.07069726059917394,2.343293120060116,1.5184748248152706,10,9fbf33acc43848e99eb7bf5381eafc85
E23_catboost_e13_features,catboost,0.8606032675137179,0.021646376892675907,0.5525894623417279,0.06713567003593121,164.65855536004528,0.48036289603646837,10,82e89c7ae1d04fcdb439b0d9c84d82a4
E24_lightgbm_e13_features,lightgbm,0.8593006092446561,0.027216311705053925,0.5523288136078748,0.07710801051245843,1.5466585799586028,4.313334809904562,10,cd0c610128f641449ac3be1b1d04f298
